"id","name","plot","rating","count_shows","category","poster_url","backdrop_url","duration"
424694,"Bohemian Rhapsody","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",8.1,38,"U/A","http://image.tmdb.org/t/p/w185//lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg","http://image.tmdb.org/t/p/w780//xcaSYLBhmDzJ6P14bcKe0KTh3QV.jpg",135
471507,"Destroyer","Erin Bell is an LAPD detective who, as a young cop, was placed undercover with a gang in the California desert with tragic results. When the leader of that gang re-emerges many years later, she must work her way back through the remaining members and into her own history with them to finally reckon with the demons that destroyed her past.",5.7,122,"U/A","http://image.tmdb.org/t/p/w185//sHw9gTdo43nJL82py0oaROkXXNr.jpg","http://image.tmdb.org/t/p/w780//rURV5xPzt9ZxEXAc4OQmxchGyZ8.jpg",121
487297,"What Men Want","Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.",5.6,148,"U/A","http://image.tmdb.org/t/p/w185//30IiwvIRqPGjUV0bxJkZfnSiCL.jpg","http://image.tmdb.org/t/p/w780//umecegsPpKr2ZXA62Da9CQBVoIO.jpg",117
454294,"The Kid Who Would Be King","Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",6.1,55,"U/A","http://image.tmdb.org/t/p/w185//kBuvLX6zynQP0sjyqbXV4jNaZ4E.jpg","http://image.tmdb.org/t/p/w780//jmbgxBd86MshzQQvv5laKvOKoMm.jpg",120
287947,"Shazam!","A boy is given the ability to become an adult superhero in times of need with a single magic word.",7.2,198,"U/A","http://image.tmdb.org/t/p/w185//xnopI5Xtky18MPhK40cZAGAOVeV.jpg","http://image.tmdb.org/t/p/w780//bi4jh0Kt0uuZGsGJoUUfqmbrjQg.jpg",132
522681,"Escape Room","Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",6.3,118,"U/A","http://image.tmdb.org/t/p/w185//8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg","http://image.tmdb.org/t/p/w780//mWLljCmpqlcYQh7uh51BBMwCZwN.jpg",99
424783,"Bumblebee","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",6.4,130,"U/A","http://image.tmdb.org/t/p/w185//fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg","http://image.tmdb.org/t/p/w780//wtZj5nn6hVwgakPdg6y6gm3eFXU.jpg",114
504172,"The Mule","Earl Stone, a man in his 80s, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he’s just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",6.4,208,"U/A","http://image.tmdb.org/t/p/w185//oeZh7yEz3PMnZLgBPhrafFHRbVz.jpg","http://image.tmdb.org/t/p/w780//bTeRgkAavyw1eCtSkaww18wLYNP.jpg",117
329996,"Dumbo","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",6.7,189,"U/A","http://image.tmdb.org/t/p/w185//279PwJAcelI4VuBtdzrZASqDPQr.jpg","http://image.tmdb.org/t/p/w780//5tFt6iuGnKapHl5tw0X0cKcnuVo.jpg",112
458723,"Us","Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",7.2,78,"U/A","http://image.tmdb.org/t/p/w185//ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg","http://image.tmdb.org/t/p/w780//jNUCddkM1fjYcFIcEwFjc7s2H4V.jpg",116
